text,label,style,style_ru
"Таким-то родом езжал он к нам часто. Приезжают раз с князем и с усатым господином, который всё с князем ходил. Из чиновников или из отставных каких он был, Бог его знает, только Федоткой его всё господа звали. Скуластый, дурной такой, а ходил чисто и в карете езжал. За что его господа так любили, Бог их ведает. Федотка, Федотка, а глядишь - его и кормят, и поят, и деньги за него платят. Да уж и шельма же был! проиграет - не платит; а выиграет, так не бось! Уж его и ругали-то, и бил в глазах моих гость большой, и на дуэль вызывал... всё с князем под ручку ходит.",2,artistic,Художественный
"Прибавлялось, что выбросилась она и упала на землю, держа в руках образ. Этот образ в руках - странная и неслыханная еще в самоубийстве черта! Это уж
  какое-то кроткое, смиренное самоубийство. Тут даже, видимо, не было никакого
  ропота или попрека: просто - стало нельзя жить. ""Бог не захотел"" и - умерла,
  помолившись. Об иных вещах, как они с виду ни просты, долго не перестается
  думать, как-то мерещится, и даже точно вы в них виноваты. Эта кроткая,
  истребившая себя душа невольно мучает мысль. Вот эта-то смерть и напомнила
  мне о сообщенном мне еще летом самоубийстве дочери эмигранта. Но какие,
  однако же, два разные создания, точно обе с двух разных планет! И какие две
  разные смерти! А которая из этих душ больше мучилась на земле, если только
  приличен и позволителен такой праздный вопрос?",2,artistic,Художественный
"Жаловался он на тяготу платежей, оброков, штрафов и всяких поборов, на ростовщичество, на запрещение заниматься ремеслами в деревне, поминал мятеж, который был десять лет назад, и всё это с угрозами, обращёнными чуть ли не прямо ко мне, словно я во всём и был виноват. Попытался я возразить, что сам почитаю себя скорее из мужиков и что всё, чем я владею, заработано собственными моими руками, но, конечно, мои слова пропали даром, и я уже покорно слушал, -- ибо мне всё равно было, что ни слушать, -- как мой случайный сотоварищ грозил рыцарям и горожанам и пожарами, и вилами, и виселицами... Так как собеседника моего угощал я, то понемногу он захмелел окончательно, и я опять оказался один в общем гуле голосов. Оглядевшись, увидел я картину отвратительную: там и сям валялись тела людей, пьяных мертвецки, в углу двое колотили друг друга, вцепившись в волосы, везде стояли лужи пролитого пива и человеческой блевотины, а посреди всего этого другие ещё продолжали попойку, или бесстыдно шутили с девками, тоже пьяными и тоже безобразными, или обыгрывали один другого в грязные карты. Я вдруг удивился, почему я сижу в этом тёмном и смрадном углу, и, торопливо расплатившись, опять вышел на зимнюю стужу. Было уже сумеречно, и я безвольно побрёл домой. Когда стучался я в нашу дверь, душа моя казалась мне пустой, как вычерпанный колодец, но в доме её тотчас наполнила строгая тишина и непобедимо повлекла меня в знакомый круг и мыслей и чувств. Я почувствовал, как с лица моего сбежали выражения, искажавшие его весь день, и как губы сложились вновь в ту тихую улыбку, которой я всегда встречал глаза Ренаты. С сердцем, бьющимся тревогою, как в первый раз, отворил я дверь к Ренате и сразу, увидев её в привычном положении, у окна, прижавшую лицо к его холодным стеклянным кружочкам, кинулся к ней и опустился перед ней на колени. Рената не сказала мне ни слова о грубости, с какой я оттолкнул её утром, не упрекнула, что я не возвращался так долго, не захотела узнать, о чём мы говорили с Генрихом, но только, как если бы всё другое уже было ей известно, спросила:
   -- Рупрехт, когда ваш поединок? Я, в ту минуту не удивившись на этот вопрос, ответил просто:
   -- Не знаю, решится завтра... Рената не промолвила больше ни слова и опустила ресницы, а я остался на коленях у её ног, в неподвижности, приложив голову к подоконнику, но подняв глаза на лицо сидящей, рассматривая её любимые, милые, хотя неправильные черты, и опять погружаясь в их очарование, словно уходя в глубь бездонного омута. Глядя на эту женщину, которую ещё вчера я ласкал всеми поцелуями счастливого любовника и к руке которой сегодня не смел прикоснуться благоговейными губами, я чувствовал, как от всего её существа разливается магическая власть, замыкающая в свой предел все мои желания.",2,artistic,Художественный
"Я все буду делать, что вы мне скажете, – прибавила она, с невинной доверчивостью обратясь ко мне. Я не тотчас нашелся, что сказать ей. – Ведь вам не будет скучно со мною? – Помилуйте, – начал я. – Ну, спасибо! – возразила Ася, – а я думала, что вам скучно будет. И ее маленькая горячая ручка крепко стиснула мою. – Н.! – вскрикнул в это мгновенье Гагин, – не темен этот фон? Я подошел к нему. Ася встала и удалилась.",2,artistic,Художественный
"XXIV
Этот страх, подобный плесени, стеснявший дыхание тяжелой сыростью, разросся в ее груди, и, когда настал день суда, она внесла с собою в зал заседания тяжелый, темный груз, согнувший ей спину и шею. На улице с нею здоровались слободские знакомые, она молча кланялась, пробираясь сквозь угрюмую толпу. В коридорах суда и в зале ее встретили родственники подсудимых и тоже что-то говорили пониженными голосами. Слова казались ей ненужными, она не понимала их. Все люди были охвачены одним и тем же скорбным чувством — это передавалось матери и еще более угнетало ее. — Садись рядом! — сказал Сизов, подвигаясь на лавке. Послушно села, оправила платье, взглянула вокруг. Перед глазами у нее слитно поплыли какие-то зеленые и малиновые полосы, пятна, засверкали тонкие желтые нити. — Погубил твой сын нашего Гришу! — тихо проговорила женщина, сидевшая рядом с ней. — Молчи, Наталья! — ответил Сизов угрюмо. Мать посмотрела на женщину — это была Самойлова, дальше сидел ее муж, лысый, благообразный человек, с окладистой рыжей бородой. Лицо у него было костлявое; прищурив глаза, он смотрел вперед, и борода его дрожала. Сквозь высокие окна зал ровно наливался мутным светом, снаружи по стеклам скользил снег. Между окнами висел большой портрет царя в толстой, жирно блестевшей золотой раме, тяжелые малиновые драпировки окон прикрывали раму с боков прямыми складками. Перед портретом, почти во всю ширину зала, вытянулся стол, покрытый зеленым сукном, направо у стены стояли за решеткой две деревянные скамьи, налево — два ряда малиновых кресел. По залу бесшумно бегали служащие с зелеными воротниками, золотыми пуговицами на груди и животе. В мутном воздухе робко блуждал тихий шёпот, носился смешанный запах аптеки. Всё это — цвета, блески, звуки и запахи — давило на глаза, вторгалось вместе с дыханием в грудь и наполняло опустошенное сердце неподвижной пестрой мутью унылой боязни. Вдруг один из людей громко сказал что-то, мать вздрогнула, все встали, она тоже поднялась, схватившись за руку Сизова. В левом углу зала отворилась высокая дверь, из нее, качаясь, вышел старичок в очках. На его сером личике тряслись белые редкие баки, верхняя бритая губа завалилась в рот, острые скулы и подбородок опирались на высокий воротник мундира, казалось, что под воротником нет шеи. Его поддерживал сзади под руку высокий молодой человек с фарфоровым лицом, румяным и круглым, а вслед за ними медленно двигались еще трое людей в расшитых золотом мундирах и трое штатских. Они долго возились за столом, усаживаясь в кресла, а когда сели, один из них, в расстегнутом мундире, с ленивым бритым лицом, что-то начал говорить старичку, беззвучно и тяжело шевеля пухлыми губами. Старичок слушал, сидя странно прямо и неподвижно, за стеклами его очков мать видела два маленькие бесцветные пятнышка. На конце стола у конторки стоял высокий лысоватый человек, покашливал, шелестел бумагами.",2,artistic,Художественный
"Я прижимался к ней, заглядывая в глаза ее, онемевший от волнения, и сквозь ее слова слышал негромкий, невеселый голос бабушки:
    — Своевольник он, совсем от рук отбился, даже дедушку не боится… Эх, Варя, Варя… — Ну, не нойте, мамаша, обойдется! В сравнении с матерью всё вокруг было маленькое, жалостное и старое, я тоже чувствовал себя старым, как дед. Сжимая меня крепкими коленями, приглаживая волосы тяжелой теплой рукой, она говорила:
    — Остричь нужно. И в школу пора. Учиться хочешь? — Я уж выучился. — Еще немножко надо. Нет, какой ты крепкий, а? И смеялась густым, греющим смехом, играя мною. Вошел дед, серый, ощетинившийся, с покрасневшими глазами; она отстранила меня движением руки, громко спросив:
    — Ну, что же, папаша? Уезжать? Он остановился у окна, царапая ногтем лед на стекле, долго молчал, всё вокруг напряглось, стало жутким, и, как всегда в минуты таких напряжений, у меня по всему телу вырастали глаза, уши, странно расширялась грудь, вызывая желание крикнуть. — Лексей, поди вон, — глухо сказал дед. — Зачем? — спросила мать, снова привлекая меня к себе. — Никуда ты не поедешь, запрещаю… Мать встала, проплыла по комнате, точно заревое облако, остановилась за спиной деда. — Папаша, послушайте… Он обернулся к ней, взвизгнув:
    — Молчи! — Ну, а кричать на меня я вам не позволяю, — тихо сказала мать. Бабушка поднялась с дивана, грозя пальцем:
    — Варвара! А дед сел на стул, забормотал:
    — Постой, я — кто? А? Как это? И вдруг взревел не своим голосом:
    — Опозорила ты меня, Варька-а!.. — Уйди, — приказала мне бабушка; я ушел в кухню, подавленный, залез на печь и долго слушал, как за переборкой то — говорили все сразу, перебивая друг друга, то — молчали, словно вдруг уснув. Речь шла о ребенке, рожденном матерью и отданном ею кому-то, но нельзя было понять, за что сердится дедушка: за то ли, что мать родила, не спросясь его, или за то, что не привезла ему ребенка? Потом он вошел в кухню встрепанный, багровый и усталый, за ним — бабушка, отирая полою кофты слезы со щек; он сел на скамью, опершись руками в нее, согнувшись, вздрагивая и кусая серые губы, она опустилась на колени пред ним, тихонько, но жарко говоря:
    — Отец, да прости ты ей Христа ради, прости! И не эдакие сани подламываются. Али у господ, у купцов не бывает этого? Женщина — гляди какая! Ну, прости, ведь никто не праведен… Дед откинулся к стене, смотрел в лицо ей и ворчал, криво усмехаясь, всхлипывая:
    — Ну да, еще бы! А как же? Ты кого не простишь, ты — всех простишь, ну да-а, эх вы-и… Наклонился к ней, схватил за плечи и стал трясти ее, нашептывая быстро:
    — А господь, небойсь, ничего не прощает, а? У могилы вот настиг, наказывает, последние дни наши, а — ни покоя, ни радости нет и — не быть! И — помяни ты мое слово! — еще нищими подохнем, нищими! Бабушка взяла руки его, села рядом с ним и тихонько, легко засмеялась. — Эка беда!",2,artistic,Художественный
"Бывшие ученики его, умники и остряки, в которых ему мерещилась беспрестанно непокорность и заносчивое поведение, узнавши об жалком его положении, собрали тут же для него деньги, продав даже многое нужное; один только Павлуша Чичиков отговорился неимением и дал какой-то пятак серебра, который тут же товарищи ему бросили, сказавши: «Эх ты, жила!» Закрыл лицо руками бедный учитель, когда услышал о таком поступке бывших учеников своих; слезы градом полились из погасавших очей, как у бессильного дитяти. «При смерти на одре привел Бог заплакать», – произнес он слабым голосом и тяжело вздохнул, услышав о Чичикове, прибавя тут же: «Эх, Павлуша! вот как переменяется человек! ведь какой был благонравный, ничего буйного, шелк! Надул, сильно надул…»
Нельзя, однако же, сказать, чтобы природа героя нашего была так сурова и черства и чувства его были до того притуплены, чтобы он не знал ни жалости, ни сострадания; он чувствовал и то и другое, он бы даже хотел помочь, но только, чтобы не заключалось это в значительной сумме, чтобы не трогать уже тех денег, которых положено было не трогать; словом, отцовское наставление: береги и копи копейку – пошло впрок. Но в нем не было привязанности собственно к деньгам для денег; им не владели скряжничество и скупость. Нет, не они двигали им: ему мерещилась впереди жизнь во всех довольствах, со всякими достатками; экипажи, дом, отлично устроенный, вкусные обеды – вот что беспрерывно носилось в голове его. Чтобы наконец потом, со временем, вкусить непременно все это, вот для чего береглась копейка, скупо отказываемая до времени и себе и другому. Когда проносился мимо его богач на пролетных красивых дрожках, на рысаках в богатой упряжи, он как вкопанный останавливался на месте и потом, очнувшись, как после долгого сна, говорил: «А ведь был конторщик, волосы носил в кружок!» И все, что ни отзывалось богатством и довольством, производило на него впечатление, непостижимое им самим. Вышед из училища, он не хотел даже отдохнуть: так сильно было у него желанье скорее приняться за дело и службу. Однако же, несмотря на похвальные аттестаты, с большим трудом определился он в казенную палату. И в дальних захолустьях нужна протекция! Местечко досталось ему ничтожное, жалованья тридцать или сорок рублей в год. Но решился он жарко заняться службою, все победить и преодолеть. И точно, самоотвержение, терпенье и ограничение нужд показал он неслыханное. С раннего утра до позднего вечера, не уставая ни душевными, ни телесными силами, писал он, погрязнув весь в канцелярские бумаги, не ходил домой, спал в канцелярских комнатах на столах, обедал подчас с сторожами и при всем том умел сохранить опрятность, порядочно одеться, сообщить лицу приятное выражение и даже что-то благородное в движениях. Надобно сказать, что палатские чиновники особенно отличались невзрачностью и неблагообразием.",2,artistic,Художественный
"Все поняли, что она держала Афанасия Матвеича при себе единственно за то, что он служил и получал жалованье и… другие доходы. Когда же он перестал получать жалованье и доходы, то его тотчас же и удалили за негодностию и совершенною бесполезностию. И все похвалили Марью Александровну за ясность суждения и решимость характера. В деревне Афанасий Матвеич живет припеваючи. Я заезжал к нему и провел у него целый час и довольно приятно. Он примеряет белые галстухи, собственноручно чистит сапоги, не из нужды, а единственно из любви к искусству, потому что любит, чтоб сапоги у него блестели; три раза в день пьет чай, чрезвычайно любит ходить в баню и – доволен. Помните ли, какая гнусная история заварилась у нас, года полтора назад, по поводу Зинаиды Афанасьевны, единственной дочери Марьи Александровны и Афанасия Матвеича? Зинаида, бесспорно, красавица, превосходно воспитана, но ей двадцать три года, а она до сих пор не замужем. Между причинами, которыми объясняют, почему до сих пор Зина не замужем, одною из главных считают эти темные слухи о каких-то странных ее связях, полтора года назад, с уездным учителишкой, – слухи, не умолкнувшие и поныне. До сих пор говорят о какой-то любовной записке, написанной Зиной и которая будто бы ходила по рукам в Мордасове, но скажите: кто видел эту записку? Если она ходила по рукам, то куда ж она делась? Все об ней слышали, но никто ее не видал. Я, по крайней мере, никого не встретил, кто бы своими глазами видел эту записку. Если вы намекнете об этом Марье Александровне, она вас просто не поймет. Теперь предположите, что действительно что-нибудь было и Зина написала записочку (я даже думаю, что это было непременно так): какова же ловкость со стороны Марьи Александровны! каково замято, затушено неловкое, скандалезное дело! Ни следа, ни намека! Марья Александровна и внимания не обращает теперь на всю эту низкую клевету; а между тем, может быть, бог знает как работала, чтоб спасти неприкосновенною честь своей единственной дочери. А что Зина не замужем, так это понятно: какие здесь женихи? Зине только разве быть за владетельным принцем. Видали ль вы где такую красавицу из красавиц? Правда, она горда, слишком горда. Говорят, что сватается Мозгляков, но вряд ли быть свадьбе. Что же такое Мозгляков? Правда – молод, недурен собою, франт, полтораста незаложенных душ, петербургский. Но ведь, во-первых, в голове не все дома. Вертопрах, болтун, с какими-то новейшими идеями! Да и что такое полтораста душ, особенно при новейших идеях? Не бывать этой свадьбе! Все, что прочел теперь благосклонный читатель, было написано мною месяцев пять тому назад, единственно из умиления. Признаюсь заранее, я несколько пристрастен к Марье Александровне.",2,artistic,Художественный
"Шаги духовника вывели меня из этой задумчивости. – Здравствуйте, – сказал он, поправляя рукой свои седые волосы. – Что вам угодно? Я попросил его благословить меня и с особенным удовольствием поцеловал его желтоватую небольшую руку. Когда я объяснил ему свою просьбу, он ничего не сказал мне, подошел к иконам и начал исповедь. Когда исповедь кончилась и я, преодолев стыд, сказал все, что было у меня на душе, он положил мне на голову руки и своим звучным, тихим голосом произнес: «Да будет, сын мой, над тобою благословение отца небесного, да сохранит он в тебе навсегда веру, кротость и смирение. Аминь». Я был совершенно счастлив; слезы счастия подступали мне к горлу; я поцеловал складку его драдедамовой рясы и поднял голову. Лицо монаха было совершенно спокойно. Я чувствовал, что наслаждаюсь чувством умиления, и, боясь чем-нибудь разогнать его, торопливо простился с духовником, и, не глядя по сторонам, чтобы не рассеяться, вышел за ограду и снова сел на колыхающиеся полосатые дрожки. Но толчки экипажа, пестрота предметов, мелькавших перед глазами, скоро разогнали это чувство; и я уже думал о том, как теперь духовник, верно, думает, что такой прекрасной души молодого человека, как я, он никогда не встречал в жизни, да и не встретит, что даже и не бывает подобных. Я в этом был убежден; и это убеждение произвело во мне чувство веселья такого рода, которое требовало того, чтобы кому-нибудь сообщить его. Мне ужасно хотелось поговорить с кем-нибудь; но так как никого под рукой не было, кроме извозчика, я обратился к нему. – Что, долго я был? – спросил я. – Ничего-таки, долго, а лошадь давно кормить пора; ведь я ночной, – отвечал старичок извозчик, теперь, по-видимому, с солнышком, повеселевший сравнительно с прежним. – А мне показалось, что я был всего одну минуту, – сказал я. – А знаешь, зачем я был в монастыре? – прибавил я, пересаживаясь в углублении, которое было на дрожках ближе к старичку извозчику. – Наше дело какое? Куда седок скажет, туда и везем,– отвечал он. – Нет, все-таки, как ты думаешь? – продолжал я допрашивать. – Да, верно, хоронить кого, ездили место покупать,– сказал он. – Нет, братец; а знаешь, зачем я ездил? – Не могу знать, барин, – повторил он. Голос извозчика показался мне таким добрым, что я решился в назидание его рассказать ему причины моей поездки и даже чувство, которое я испытывал. – Хочешь, я тебе расскажу? Вот видишь ли… И я рассказал ему все и описал, все свои прекрасные чувства. Я даже теперь краснею при этом воспоминании. – Так-с, – сказал извозчик недоверчиво. И долго после этого молчал и сидел недвижно, только изредка поправляя полу армяка, которая все выбивалась из-под его полосатой ноги, прыгавшей в большом сапоге на подножке калибера.",2,artistic,Художественный
"Ты вечно сердишься, тебе бы все только ума, а я опять-таки повторю тебе, что я отдал бы всю эту надзвездную жизнь, все чины и почести за то только, чтобы воплотиться в душу семипудовой купчихи и Богу свечки ставить. – Уж и ты в Бога не веришь? – ненавистно усмехнулся Иван. – То есть как тебе это сказать, если ты только серьезно… – Есть Бог или нет? – опять со свирепою настойчивостью крикнул Иван. – А, так ты серьезно? Голубчик мой, ей-богу, не знаю, вот великое слово сказал. – Не знаешь, а Бога видишь? Нет, ты не сам по себе, ты – я, ты есть я и более ничего! Ты дрянь, ты моя фантазия! – То есть, если хочешь, я одной с тобой философии, вот это будет справедливо. Je pense donc je suis,[42] это я знаю наверно, остальное же все, что кругом меня, все эти миры, Бог и даже сам сатана – все это для меня не доказано, существует ли оно само по себе или есть только одна моя эманация, последовательное развитие моего я, существующего довременно и единолично… словом, я быстро прерываю, потому что ты, кажется, сейчас драться вскочишь. – Лучше бы ты какой анекдот! – болезненно проговорил Иван. – Анекдот есть и именно на нашу тему, то есть это не анекдот, а так, легенда. Ты вот укоряешь меня в неверии: «видишь-де, а не веришь». Но, друг мой, ведь не я же один таков, у нас там все теперь помутились, и всё от ваших наук. Еще пока были атомы, пять чувств, четыре стихии, ну тогда все кое-как клеилось. Атомы-то и в древнем мире были. А вот как узнали у нас, что вы там открыли у себя «химическую молекулу», да «протоплазму», да черт знает что еще – так у нас и поджали хвосты. Просто сумбур начался; главное – суеверие, сплетни; сплетен ведь и у нас столько же, сколько у вас, даже капельку больше, а, наконец, и доносы, у нас ведь тоже есть такое одно отделение, где принимают известные «сведения». Так вот эта дикая легенда, еще средних наших веков – не ваших, а наших – и никто-то ей не верит даже и у нас, кроме семипудовых купчих, то есть опять-таки не ваших, а наших купчих. Все, что у вас есть, – есть и у нас, это я уж тебе по дружбе одну тайну нашу открываю, хоть и запрещено. Легенда-то эта об рае. Был, дескать, здесь у вас на земле один такой мыслитель и философ, «все отвергал, законы, совесть, веру», а главное – будущую жизнь. Помер, думал, что прямо во мрак и смерть, ан перед ним – будущая жизнь. Изумился и вознегодовал: «Это, говорит, противоречит моим убеждениям». Вот его за это и присудили… то есть, видишь, ты меня извини, я ведь передаю сам, что слышал, это только легенда… присудили, видишь, его, чтобы прошел во мраке квадриллион километров (у нас ведь теперь на километры), и когда кончит этот квадриллион, то тогда ему отворят райские двери и все простят… – А какие муки у вас на том свете, кроме-то квадриллиона? – с каким-то странным оживлением прервал Иван. – Какие муки?",2,artistic,Художественный
