text,label,style,style_ru
"РОССИЙСКАЯ ФЕДЕРАЦИЯ ФЕДЕРАЛЬНЫЙ ЗАКОН О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ОТДЕЛЬНЫЕ ЗАКОНОДАТЕЛЬНЫЕ АКТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ Принят Государственной Думой 19 декабря 2018 года Одобрен Советом Федерации 21 декабря 2018 годаСтатья 1В Закона Российской Федерации от 7 июля 1993 года N 5338-1 ""О международном коммерческом арбитраже"" (Ведомости Съезда народных депутатов Российской Федерации и Верховного Совета Российской Федерации, 1993, N 32, ст. 1240; Собрание законодательства Российской Федерации, 2016, N 1, ст. 29) второе предложение дополнить словами "", если иной порядок не предусмотрен законодательством Российской Федерации"", четвертое предложение дополнить словами "", за исключением устава международной компании, если он предусматривает применение к международной компании норм иностранного права, а также правил иностранных бирж"".Статья 2Внести в Земельный Российской Федерации (Собрание законодательства Российской Федерации, 2001, N 44, ст. 4147; 2005, N 30, ст. 3128; 2007, N 21, ст. 2455; N 31, ст. 4009; 2011, N 30, ст. 4594; N 50, ст. 7343; N 51, ст. 7448; 2014, N 26, ст. 3377; N 30, ст. 4218, 4225; 2015, N 29, ст. 4339, 4350; 2016, N 18, ст. 2495; N 26, ст. 3890; N 27, ст. 4267, 4269, 4282, 4298, 4306; 2017, N 27, ст. 3938; N 31, ст. 4765, 4766; 2018, N 1, ст. 90; N 28, ст. 4139, 4149; N 32, ст. 5133, 5134) следующие изменения:1) в :а) после слов ""резидентов особых экономических зон - арендаторов земельных участков,"" дополнить словами ""участников свободной экономической зоны на территориях Республики Крым и города федерального значения Севастополя, которым земельные участки предоставлены в аренду без проведения торгов для реализации договоров об условиях деятельности в свободной экономической зоне, заключенных в соответствии с Федеральным от 29 ноября 2014 года N 377-ФЗ ""О развитии Республики Крым и города федерального значения Севастополя и свободной экономической зоне на территориях Республики Крым и города федерального значения Севастополя"","";б) после слов ""резидентов особых экономических зон - арендаторов земельных участков,"" дополнить словами ""участников свободной экономической зоны на территориях Республики Крым и города федерального значения Севастополя, которым земельные участки предоставлены в аренду без проведения торгов для реализации договоров об условиях деятельности в свободной экономической зоне, заключенных в соответствии с Федеральным от 29 ноября 2014 года N 377-ФЗ ""О развитии Республики Крым и города федерального значения Севастополя и свободной экономической зоне на территориях Республики Крым и города федерального значения Севастополя"","";2) дополнить подпунктом 38 следующего содержания:""38) земельного участка участнику свободной экономической зоны на территориях Республики Крым и города федерального значения Севастополя для реализации договора об условиях деятельности в свободной экономической зоне, заключенного в соответствии с Федеральным от 29 ноября 2014 года N 377-ФЗ ""О развитии Республики Крым и города федерального значения Севастополя и свободной экономической зоне на территориях Республики Крым и города федерального значения Севастополя""."";3) дополнить подпунктом 19 следующего содержания:""19) на срок реализации участником свободной экономической зоны на территориях Республики Крым и города федерального значения Севастополя договора об условиях деятельности в свободной экономической зоне, заключенного в соответствии с Федеральным от 29 ноября 2014 года N 377-ФЗ ""О развитии Республики Крым и города федерального значения Севастополя и свободной экономической зоне на территориях Республики Крым и города федерального значения Севастополя"", если меньший срок не заявлен таким участником."".",1,official,Официально-деловой
"Статья 3 Федерального закона от 10 июля 2002 года N 86-ФЗ ""О Центральном Банке Российской Федерации (Банке России)"" (Собрание законодательства Российской Федерации, 2002, N 28, ст. 2790; 2013, N 30, ст. 4084) дополнить предложением следующего содержания: ""Банк России не осуществляет контроль и надзор за соблюдением международными компаниями норм иностранного права, а также правил иностранных бирж."".",1,official,Официально-деловой
"Статья 4 Арбитражного процессуального кодекса Российской Федерации (Собрание законодательства Российской Федерации, 2002, N 30, ст. 3012; 2009, N 29, ст. 3642; 2016, N 1, ст. 29; 2018, N 49, ст. 7523) дополнить частью 2.1 следующего содержания:""2.1. Исключения, предусмотренные пунктами 1 (в части споров, предусмотренных пунктом 7 части 1 настоящей статьи), 3, 5 части 2 настоящей статьи, не применяются к спорам в отношении международной компании, если ее устав предусматривает применение к международной компании норм иностранного права, правил иностранных бирж и содержит арбитражное соглашение, включенное в его текст в соответствии с порядком, предусмотренным законодательством Российской Федерации."".Статья 5Внести в Федерального закона от 10 декабря 2003 года N 173-ФЗ ""О валютном регулировании и валютном контроле"" (Собрание законодательства Российской Федерации, 2003, N 50, ст. 4859; 2005, N 30, ст. 3101; 2007, N 1, ст. 30; N 29, ст. 3480; N 45, ст. 5419; 2008, N 30, ст. 3606; 2011, N 48, ст. 6728; 2013, N 19, ст. 2329; N 27, ст. 3447; 2014, N 30, ст. 4219; 2015, N 48, ст. 6716; 2018, N 1, ст. 11; N 11, ст. 1579; N 22, ст. 3041) следующие изменения:1) дополнить словами "", а также к физическим лицам - резидентам, указанным в Налогового кодекса Российской Федерации, в случае признания федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов, таких физических лиц не являющимися налоговыми резидентами Российской Федерации в соответствующем налоговом периоде"";2) после слов ""Физические лица - резиденты"" дополнить словами ""(за исключением физических лиц, указанных в Налогового кодекса Российской Федерации, в случае признания федеральным органом исполнительной власти, уполномоченным по контролю и надзору в области налогов и сборов, таких физических лиц не являющимися налоговыми резидентами Российской Федерации в соответствующем налоговом периоде)"".",1,official,Официально-деловой
"Статья 6 Федерального закона от 27 июля 2010 года N 208-ФЗ ""О консолидированной финансовой отчетности"" (Собрание законодательства Российской Федерации, 2010, N 31, ст. 4177; 2013, N 30, ст. 4084; 2014, N 19, ст. 2316; N 45, ст. 6154; 2016, N 27, ст. 4195; 2017, N 30, ст. 4444) дополнить словами "", если иное не предусмотрено законодательством Российской Федерации"".Статья 7Внести в Федеральный от 29 ноября 2014 года N 377-ФЗ ""О развитии Республики Крым и города федерального значения Севастополя и свободной экономической зоне на территориях Республики Крым и города федерального значения Севастополя"" (Собрание законодательства Российской Федерации, 2014, N 48, ст. 6658; 2016, N 27, ст. 4183; N 52, ст. 7487; 2017, N 27, ст. 3933; N 52, ст. 7928; 2018, N 1, ст. 39) следующие изменения:1) в :а) в : признать утратившим силу;в слова ""выдает по требованию участников свободной экономической зоны или по запросу заинтересованных лиц выписки из него"" заменить словами ""размещает его на своем официальном сайте в информационно-телекоммуникационной сети ""Интернет""; изложить в следующей редакции:""6) сообщает в федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в области таможенного дела, и федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору за соблюдением законодательства о налогах и сборах, сведения о включении лица в единый реестр участников свободной экономической зоны и об исключении из него;""; признать утратившим силу;б) в :в слова ""контроль за исполнением"" заменить словами ""мониторинг выполнения""; пунктом 3.1 следующего содержания:""3.1) контроль за реализацией участником свободной экономической зоны инвестиционного проекта;"";2) статьей 12.1 следующего содержания:""",1,official,Официально-деловой
"Статья 12.1. Инвестиционный проект1. Для целей настоящего Федерального закона под инвестиционным проектом понимается ограниченный по времени осуществления и затрачиваемым ресурсам комплекс мероприятий, направленных на создание и последующую эксплуатацию новых либо модернизацию существующих объектов основных средств, который реализуется участником свободной экономической зоны в целях производства новых товаров, выполнения работ, оказания услуг либо поддержания и (или) увеличения объема производимых товаров, выполняемых работ, оказываемых услуг путем осуществления капитальных вложений.2. Для целей настоящего Федерального закона под капитальными вложениями понимаются инвестиции в основной капитал (основные средства), в том числе затраты на осуществление проектно-изыскательских работ, новое строительство, модернизацию объектов основных средств и на приобретение соответствующих машин, оборудования, инструментов, инвентаря. Не учитываются в качестве капитальных вложений затраты на приобретение земельных участков, а также на приобретение легковых автомобилей и их обслуживание.3. Для целей настоящего Федерального закона под модернизацией объектов основных средств понимаются их техническое перевооружение, достройка, дооборудование, в том числе реконструкция, и иные виды работ, которые приводят к улучшению экономических характеристик объектов основных средств и (или) появлению у них новых экономических характеристик."";3) в :а) изложить в следующей редакции:""1. Лицо, намеревающееся получить статус участника свободной экономической зоны, в зависимости от места реализации инвестиционного проекта должно быть зарегистрировано на территории Республики Крым или территории города федерального значения Севастополя, состоять на учете в налоговом органе, а также иметь инвестиционную декларацию, соответствующую требованиям, установленным настоящим Федеральным законом."";б) изложить в следующей редакции:""2) копия документа, подтверждающего факт внесения записи о государственной регистрации заявителя в единый государственный реестр юридических лиц или единый государственный реестр индивидуальных предпринимателей;"";в) в :в слова ""с указанием количества планируемых для создания рабочих мест и размера средней заработной платы"" исключить; пунктом 3.1 следующего содержания:""3.1) количество планируемых для создания рабочих мест, в том числе в первые три года реализации инвестиционного проекта, и размер средней заработной платы;""; пунктом 5.1 следующего содержания:""5.1) график получения предусмотренных нормативными правовыми актами заключений, согласований и (или) разрешений уполномоченных органов (в случае, если реализация инвестиционного проекта связана с необходимостью проектирования, строительства и (или) реконструкции объектов капитального строительства, для осуществления которых требуется получение указанных заключений, согласований и (или) разрешений;""; пунктом 5.2 следующего содержания:""5.2) график создания новых рабочих мест в первые три года реализации инвестиционного проекта;"";г) частью 3.1 следующего содержания:""3.1. График, указанный в пункте 5 части 3 настоящей статьи, должен предусматривать осуществление капитальных вложений в размере не менее 30 процентов общего объема капитальных вложений в первый год реализации инвестиционного проекта в случае, если реализация инвестиционного проекта не связана с необходимостью проектирования, строительства и (или) реконструкции объектов капитального строительства, для осуществления которых требуется получение предусмотренных нормативными правовыми актами заключений, согласований и (или) разрешений уполномоченных органов."";д) в слова ""в части 3"" заменить словами ""в части 2"";е) частью 7.1 следующего содержания:""7.1. При рассмотрении представленных заявителем документов, указанных в части 2 настоящей статьи, орган управления свободной экономической зоной проводит оценку инвестиционной декларации на предмет эффективности реализации инвестиционного проекта в соответствии с критериями и методикой такой оценки, которые определяет уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти."";ж) в слова ""в срок, не превышающий семи дней"" заменить словами ""в срок, не превышающий десяти рабочих дней"";з) после слова ""пятнадцати"" дополнить словом ""рабочих"";и) в слово ""заключенный"" исключить;к) изложить в следующей редакции:""14. Решение об отказе в заключении договора об условиях деятельности в свободной экономической зоне принимается в случаях несоответствия требованиям, указанным в части 1 настоящей статьи, или в случае признания соответствующим органом управления свободной экономической зоной по результатам оценки инвестиционной декларации, проведенной в соответствии с частью 7.1 настоящей статьи, инвестиционного проекта неэффективным."";л) в слова ""в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти или"" исключить;м) изложить в следующей редакции:""17. Высший исполнительный орган государственной власти Республики Крым или высший исполнительный орган государственной власти города федерального значения Севастополя в день получения от заявителя заключенного договора об условиях деятельности в свободной экономической зоне направляет в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти копию указанного договора."";н) частью 17.1 следующего содержания:""17.1. Высший исполнительный орган государственной власти Республики Крым, высший исполнительный орган государственной власти города федерального значения Севастополя и заявитель несут ответственность за полноту и достоверность сведений, содержащихся в заключенных договорах об условиях деятельности в свободной экономической зоне, в соответствии с законодательством Российской Федерации."";о) изложить в следующей редакции:""18. В течение трех рабочих дней со дня получения от высшего исполнительного органа государственной власти Республики Крым или высшего исполнительного органа государственной власти города федерального значения Севастополя копии заключенного договора об условиях деятельности в свободной экономической зоне уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти вносит в единый реестр участников свободной экономической зоны запись о включении заявителя в указанный реестр либо запись о заключении с заявителем, имеющим статус участника свободной экономической зоны, другого договора об условиях деятельности в свободной экономической зоне, а также направляет или передает иным способом, свидетельствующим о дате получения:1) участнику свободной экономической зоны свидетельство о включении в единый реестр участников свободной экономической зоны. При заключении лицом, имеющим статус участника свободной экономической зоны, нескольких договоров об условиях деятельности в свободной экономической зоне свидетельство о включении в единый реестр участников свободной экономической зоны не выдается;2) в адрес федерального органа исполнительной власти, осуществляющего функции по контролю и надзору в области таможенного дела, федерального органа исполнительной власти, осуществляющего функции по контролю и надзору за соблюдением законодательства о налогах и сборах, выписку из единого реестра участников свободной экономической зоны, содержащую информацию, предусмотренную настоящей частью, и копию заключенного договора об условиях деятельности в свободной экономической зоне."";п) в слова ""осуществлять предпринимательскую и иную деятельность"" заменить словами ""реализовывать инвестиционный проект"";р) частью 20.1 следующего содержания:""20.1. К деятельности филиалов и представительств юридических лиц - участников свободной экономической зоны, расположенных за пределами свободной экономической зоны, особый режим осуществления предпринимательской и иной деятельности в свободной экономической зоне не применяется."";с) в слова ""осуществляет деятельность"" заменить словами ""реализует инвестиционный проект"";т) изложить в следующей редакции:""22. Хозяйственная деятельность, не связанная с реализацией инвестиционного проекта, предусмотренного договором об условиях деятельности в свободной экономической зоне, может осуществляться участниками свободной экономической зоны без применения особого режима осуществления предпринимательской и иной деятельности в свободной экономической зоне, в том числе без применения таможенной процедуры свободной таможенной зоны."";у) в : дополнить словами "", за исключением случая, если участником свободной экономической зоны заключено несколько договоров об условиях деятельности в свободной экономической зоне""; дополнить словами "", за исключением случая, если участником свободной экономической зоны заключено несколько договоров об условиях деятельности в свободной экономической зоне"";ф) частями 23.1 и 23.2 следующего содержания:""23.1. При расторжении договора об условиях деятельности в свободной экономической зоне по решению суда в связи с нарушением участником свободной экономической зоны условий указанного договора лицо, утратившее статус участника свободной экономической зоны, обязано уплатить штраф в размере, предусмотренном указанным договором.23.2. Высший исполнительный орган государственной власти Республики Крым или высший исполнительный орган государственной власти города федерального значения Севастополя в день наступления хотя бы одного из случаев, предусмотренных частью 23 настоящей статьи, направляет в уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти уведомление о наступлении такого случая."";х) в слова ""о наступлении случаев, предусмотренных частью 23 настоящей статьи"" заменить словами ""о наступлении хотя бы одного из случаев, предусмотренных частью 23 настоящей статьи, в течение трех рабочих дней со дня получения такого уведомления"";ц) изложить в следующей редакции:""25. Уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти направляет выписку из единого реестра участников свободной экономической зоны об исключении участника свободной экономической зоны из указанного реестра в федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в области таможенного дела, и федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору за соблюдением законодательства о налогах и сборах, в течение одного рабочего дня, следующего за днем внесения в единый реестр участников свободной экономической зоны соответствующей записи."";ч) дополнить словами ""в случае, если это повлечет за собой увеличение сроков реализации инвестиционного проекта"";4) статьей 13.1 следующего содержания:""",1,official,Официально-деловой
"Статья 13.1. Замена свидетельства о включении в единый реестр участников свободной экономической зоны, выдача дубликата1. Замена свидетельства о включении в единый реестр участников свободной экономической зоны, выдача дубликата производятся уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти в следующих случаях:1) изменение наименования участника свободной экономической зоны, являющегося юридическим лицом, или изменение фамилии, имени, отчества участника свободной экономической зоны, являющегося индивидуальным предпринимателем;2) установление неточностей (опечаток, ошибок) в таком свидетельстве;3) непригодность такого свидетельства для использования;4) утрата такого свидетельства.2. В случаях, предусмотренных пунктами 1 и 2 части 1 настоящей статьи, уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти по письменному заявлению участника свободной экономической зоны выдает ему новое свидетельство о включении в единый реестр участников свободной экономической зоны с тем же регистрационным номером.3. В случаях, предусмотренных пунктами 3 и 4 части 1 настоящей статьи, уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти по письменному заявлению участника свободной экономической зоны выдает ему дубликат свидетельства о включении в единый реестр участников свободной экономической зоны с тем же регистрационным номером.4. К письменному заявлению участника свободной экономической зоны о замене свидетельства о включении в единый реестр участников свободной экономической зоны, выдаче его дубликата прилагается бланк ранее выданного свидетельства, за исключением случая, предусмотренного пунктом 4 части 1 настоящей статьи.5. Уполномоченный Правительством Российской Федерации федеральный орган исполнительной власти в течение трех рабочих дней со дня получения от участника свободной экономической зоны письменного заявления изготавливает соответственно новое свидетельство о включении в единый реестр участников свободной экономической зоны, дубликат свидетельства о включении в единый реестр участников свободной экономической зоны и направляет его заявителю или передает иным способом, свидетельствующим о дате его получения."";5) признать утратившей силу;6) статьей 14.1 следующего содержания:""",1,official,Официально-деловой
"Статья 14.1. Осуществление мониторинга выполнения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне1. Высший исполнительный орган государственной власти Республики Крым и высший исполнительный орган государственной власти города федерального значения Севастополя осуществляют мониторинг выполнения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне.2. Целью мониторинга выполнения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне является обеспечение реализации инвестиционного проекта с соблюдением установленных указанным договором условий, в том числе сроков и объема осуществления капитальных вложений.3. Порядок осуществления мониторинга выполнения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне устанавливается соответствующим договором об условиях деятельности в свободной экономической зоне.4. При установлении в ходе мониторинга выполнения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне фактов нарушения участником свободной экономической зоны условий договора об условиях деятельности в свободной экономической зоне такой договор может быть расторгнут в судебном порядке на основании заявления высшего исполнительного органа государственной власти Республики Крым или высшего исполнительного органа государственной власти города федерального значения Севастополя."";7) статьей 14.2 следующего содержания:""",1,official,Официально-деловой
