text_ready,label,style,style_ru
такой род езжать часто приезжать раз князь усатый господин князь ходить чиновник отставной какой бог знать федотка господин звать скуластый дурной такой ходить чисто карета езжать господин любить бог ведать федотка федотка глядеть кормить поить деньга он платить шельма проиграть платить выиграть бося ругать бить глаз мой гость большой дуэль вызывать князь ручка ходить,4,artistic,Художественный
прибавляться выброситься упасть земля держать рука образ образ рука странный неслыханный ещё самоубийство черта какой кроткий смиренный самоубийство тут видимо никакой ропот попрёк просто стать нельзя жить бог захотеть умереть помолиться иной вещь вид простой долго перестаться думать мерещиться точно виноватый кроткий истребить себя душа невольно мучить мысль смерть напомнить сообщить ещё лето самоубийство дочь эмигрант какой два разный создание точно оба два разный планета какой два разный смерть этот душа большой мучиться земля приличный позволительный такой праздный вопрос,4,artistic,Художественный
жаловаться тягота платёж оброк штраф всякий побор ростовщичество запрещение заниматься ремесло деревня поминать мятеж десять год назад угроза обратить чуть прямо словно весь виноватый попытаться возразить сам почитать себя скорее мужик чем владеть заработать собственный мой рука конечно мой слово пропасть даром покорно слушать ибо равно слушать мой случайный сотоварищ грозить рыцарь горожанин пожар вилы виселица собеседник мой угощать понемногу захмелеть окончательно опять оказаться один общий гул голос оглядеться увидеть картина отвратительный сям валяться тело человек пьяный мертвецки угол двое колотить друг друг вцепиться волос везде стоять лужа пролить пиво человеческий блевотина посреди весь это другой продолжать попойка бесстыдно шутить девка пьяный безобразный обыгрывать один другой грязный карта вдруг удивиться сидеть это тёмный смрадный угол торопливо расплатиться опять выйти зимний стужа сумеречно безвольно побрести домой стучаться наш дверь душа мой казаться пустой вычерпать колодец дом тотчас наполнить строгий тишина непобедимый повлечь я знакомый круг мысль чувство почувствовать лицо мой сбежать выражение искажать день губа сложиться вновь тихий улыбка который всегда встречать глаз рената сердце биться тревога первый раз отворить дверь ренат сразу увидеть привычный положение окно прижать лицо холодный стеклянный кружочек кинуться она опуститься перед она колено рената сказать слово грубость какой оттолкнуть утром упрекнуть возвращаться долго захотеть узнать что говорить генрих другой известно спросить рупрехт ваш поединок минута удивиться вопрос ответить просто знать решиться завтра рената промолвить большой слово опустить ресница остаться колено нога неподвижность приложить голова подоконник поднять глаз лицо сидеть рассматривать любимый милый хотя неправильный черта опять погружаться очарование словно уходить глубь бездонный омут глядеть этот женщина который вчера ласкать весь поцелуй счастливый любовник рука который сегодня сметь прикоснуться благоговейный губа чувствовать весь существо разливаться магический власть замыкать предел мой желание,4,artistic,Художественный
быть делать сказать прибавить невинный доверчивость обратиться тотчас найтись сказать быть скучно я помиловать начать спасибо возразить ася думать скучно быть маленький горячий ручка крепко стиснуть мой вскрикнуть мгновение гагин тёмный фон подойти он ася встать удалиться,4,artistic,Художественный
xxiv страх подобный плесень стеснять дыхание тяжёлый сырость разрастись грудь настать день суд внести себя зал заседание тяжёлый тёмный груз согнуть спина шея улица она здороваться слободский знакомый молча кланяться пробираться сквозь угрюмый толпа коридор суд зал встретить родственник подсудимый говорить понизить голос слово казаться ненужный понимать человек быть охватить один скорбный чувство передаваться мать ещё более угнетать садиться рядом сказать сизов подвигаться лавка послушно село оправить платье взглянуть вокруг перед глаз она слитно поплыть какой зелёный малиновый полоса пятно засверкать тонкий жёлтый нить погубить твой сын наш гриша тихо проговорить женщина сидеть рядом она молчать наталья ответить сизов угрюмо мать посмотреть женщина самойлов далёкий сидеть муж лысый благообразный человек окладистый рыжеть борода лицо он костлявый прищурить глаз смотреть вперёд борода дрожать сквозь высокий окно зал ровно наливаться мутный свет снаружи стекло скользить снег окно висеть большой портрет царь толстой жирно блестеть золотой рама тяжёлый малиновый драпировка окно прикрывать рама боков прямой складка перед портрет почти весь ширина зал вытянуться стол покрыть зелёный сукно направо стена стоять решётка два деревянный скамья налево два ряд малиновый кресло зала бесшумно бегать служащий зелёный воротник золотой пуговица грудь живот мутный воздух робко блуждать тихий шёпот носиться смешанный запах аптека цвет блеск звук запах давить глаз вторгаться вместе дыхание грудь наполнять опустошить сердце неподвижный пёстрый муть унылый боязнь вдруг один человек громко сказать мать вздрогнуть встать подняться схватиться рука сизов левый угол зал отвориться высокий дверь она качаться выйти старичок очки серый личико трястись белые редкий бак верхний бритый губа завалиться рот острый скула подбородок опираться высокий воротник мундир казаться воротник шея поддерживать сзади рука высокий молодой человек фарфоровый лицо румяный круглый вслед медленно двигаться ещё трое человек расшитый золото мундир трое штатский долго возиться стол усаживаться кресло сель один расстегнуть мундир ленивый бритый лицо начать говорить старичок беззвучно тяжело шевелить пухлый губа старичок слушать сидя странно прямо неподвижно стекло очко мать видеть два маленький бесцветный пятнышко конец стол конторка стоять высокий лысоватый человек покашливать шелестеть бумага,4,artistic,Художественный
прижиматься она заглядывать глаз онеметь волнение сквозь слово слышать негромкий невесёлый голос бабушка своевольник совсем рука отбиться дедушка бояться варя варя ныть мамаша обойтись сравнение мать вокруг маленький жалостный старое чувствовать себя старый дед сжимать я крепкий колено приглаживать волос тяжёлый тёплый рука говорить остричь нужно школа пора учиться хотеть выучиться ещё немножко надо какой крепкий смеяться густой греть смех играть я войти дед серый ощетиниться покраснеть глаз отстранить я движение рука громко спросить папаша уезжать остановиться окно царапать ноготь лёд стекло долго молчать вокруг напрячься стать жуткий всегда минута такой напряжение я весь тело вырастать глаз ухо странно расширяться грудь вызывать желание крикнуть лексеять поди вон глухо сказать дед спросить мать снова привлекать я себя никуда поехать запрещать мать встать проплыть комната точно заревой облако остановиться спина дед папаша послушать обернуться она взвизгнуть молчать кричать я позволять тихо сказать мать бабушка подняться диван грозить палец варвар дед сесть стул забормотать постоять вдруг взреветь свой голос опозорить я варёк уйти приказать бабушка уйти кухня подавить залезть печь долго слушать переборка говорить сразу перебивать друг друг молчать словно вдруг уснуть речь идти ребёнок родить мать отдать кто нельзя понять сердиться дедушка мать родить спроситься привезти ребёнок потом войти кухня встрепать багровый усталый бабушка отирать полый кофта слеза щека сесть скамья опереться рука она согнуться вздрагивать кусать серый губа опуститься колено пред тихонько жарко говорить отец простить христос ради простить эдакий сани подламываться али господин купец бывать это женщина глядеть какой простить никто праведный дед откинуться стена смотреть лицо ворчать кривой усмехаться всхлипывать ещё кто простить простить наклониться она схватить плечо стать трясти нашёптывать быстро господь небойся ничего прощать могила настигнуть наказывать последний день наш покой радость помянуть мой слово ещё нищий подохнуть нищий бабушка взять рука село рядом тихонько легко засмеяться эка беда,4,artistic,Художественный
бывший ученик умник остряк который мерещиться беспрестанно непокорность заносчивый поведение узнать жалкий положение собрать тут он деньга продать многое нужный один павлуша чичиков отговориться неимение дать какой пятак серебро тут товарищ бросить сказать жить закрыть лицо рука бедный учитель услышать такой поступок бывший ученик свой слеза град политься погасать око бессильный дитя смерть одр привести бог заплакать произнести слабый голос тяжело вздохнуть услышать чичиков прибавить тут павлуша переменяться человек какой благонравный ничего буйный шёлк надуть сильно надуть нельзя сказать природа герой наш суровый чёрствый чувство быть тот притупить знать жалость сострадание чувствовать другой хотеть помочь заключаться значительный сумма трогать тот деньга который положить трогать слово отцовский наставление беречь копь копейка пойти впрок привязанность собственно деньга деньга владеть скряжничество скупость двигать мерещиться впереди жизнь довольство всякий достаток экипаж дом отлично устроенный вкусный обед беспрерывно носиться голова наконец потом время вкусить непременно что беречься копейка скупо отказывать время себя другой проноситься мимо богач пролётный красивый дрожки рысак богатый упряжь вкопать останавливаться место потом очнуться после долгий сон говорить конторщик волос носить кружок отзываться богатство довольство производить он впечатление непостижимый сам выйти училище хотеть отдохнуть сильно он желание скорее приняться дело служба несмотря похвальный аттестат больший труд определиться казённый палата дальний захолустье нужный протекция местечко достаться ничтожный жалование тридцать сорок рубль год решиться жарко заняться служба победить преодолеть точно самоотвержение терпение ограничение нужда показать неслыханный ранний утро поздний вечер уставать душевный телесный сила писать погрязнуть канцелярский бумага ходить домой спасть канцелярский комната стол обедать подчас сторож весь тот уметь сохранить опрятность порядочно одеться сообщить лицо приятный выражение благородный движение надобный сказать палатский чиновник особенно отличаться невзрачность неблагообразие,4,artistic,Художественный
понять держать афанасий матвеевич себя единственно служить получать жалование другой доход перестать получать жалование доход тотчас удалить негодность совершенный бесполезность похвалить марь александрович ясность суждение решимость характер деревня афанасий матвеевич жить припеваючи заезжать он провести он целый час довольно приятно примерять белые галстуха собственноручно чистить сапог нужда единственно любовь искусство любить чтоб сапог он блестеть три раз день пить чай чрезвычайно любить ходить баня довольный помнить какой гнусный история завариться год полтора назад повод зинаида афанасиевич единственный дочь марья александрович афанасий матвеевич зинаида бесспорный красавица превосходно воспитать двадцать три год сей пора замужем причина который объяснять сей пора зина замужем один главный считать тёмный слух какой странный связь полтора год назад уездный учителишка слух умолкнуть поныне сей пора говорить какой любовный записка написать зина будто ходить рука мордасов сказать видеть этот записка ходить рука деться она слышать никто видать крайний мера никто встретить свой глаз видеть этот записка намекнуть это марья александрович просто понять теперь предположить действительно нибыть зина написать записочка думать непременно каковой ловкость сторона марья александрович каковой замять затушить неловкий скандалёзный дело след намёк марья александрович внимание обращать теперь весь этот низкий клевета мочь бог знать работать чтоб спасти неприкосновенный честь свой единственный дочь зина замужем понятно какой здесь жених зина владетельный принц видать такой красавица красавица правда гордый слишком гордый говорить свататься мозгляк вряд свадьба такой мозгляк правда молодой недурной себя франт полтораста незаложенный душа петербургский первый голова дом вертопрах болтун какой новый идея такой полтораста душа особенно новый идея бывать этот свадьба прочесть теперь благосклонный читатель написать я месяц пять тот назад единственно умиление признаться заранее несколько пристрастный марья александрович,4,artistic,Художественный
шаг духовник вывести я этот задумчивость здравствуйте сказать поправлять рука седой волос угодный попросить благословить я особенный удовольствие поцеловать желтоватый небольшой рука объяснить свой просьба ничего сказать подойти икона начать исповедь исповедь кончиться преодолеть стыд сказать я душа положить голова рука свой звучный тихий голос произнести быть сын мой ты благословение отец небесный сохранить навсегда вера кротость смирение аминь совершенно счастливый слеза счастие подступать горло поцеловать складка драдедамов ряса поднять голова лицо монах совершенно спокойно чувствовать наслаждаться чувство умиление бояться чем нибыть разогнать торопливо проститься духовник глядеть сторона рассеяться выйти ограда снова сесть колыхаться полосатый дрожки толчок экипаж пестрота предмет мелькать перед глаз скоро разогнать чувство думать тот теперь духовник верно думать такой прекрасный душа молодой человек никогда встречать жизнь встретить бывать подобный это убеждённый убеждение произвести чувство веселие такой род требовать тот кто нибыть сообщить ужасно хотеться поговорить кто нибыть никто рука кроме извозчик обратиться он долго спросить ничего таки долго лошадь давно кормить пора ночной отвечать старичок извозчик теперь видимый солнышко повеселеть сравнительно прежний показаться весь один минута сказать знать монастырь прибавить пересаживаться углубление дрожки близкий старичок извозчик наш дело какой седок сказать туда везти отвечать таки думать продолжать допрашивать верно хоронить кто ездить место покупать сказать братец знать ездить мочь знать барин повторить голос извозчик показаться такой добрый решиться назидание рассказать причина мой поездка чувство испытывать хотеть рассказать видеть рассказать описать прекрасный чувство теперь краснеть это воспоминание сказать извозчик недоверчиво долго после это молчать сидеть недвижно изредка поправлять пол армяк выбиваться полосатый нога прыгать большой сапог подножка калибер,4,artistic,Художественный
вечно сердиться ум опять таки повторить отдать весь этот надзвёздный жизнь чин почесть воплотиться душа семипудовый купчиха бог свечка ставить бог верить ненавистный усмехнуться иван сказать серьёзно бог опять свирепый настойчивость крикнуть иван серьёзно голубчик мой бог знать великое слово сказать знать бог видеть сам себя более ничего дрянь мой фантазия хотеть один ты философия быть справедливо pense donc suis знать наверно остальной кругом я мир бог сам сатана я доказать существовать оно сам себя один мой эманация последовательный развитие мой существующий довременный единолично слово быстро прерывать казаться сейчас драться вскочить хороший какой анекдот болезненно проговорить иван анекдот именно наш тема анекдот легенда укорять я неверие видеть верить друг мой один таковой теперь помутиться ваш наука ещё пока быть атом пять чувство четыре стихия тогда кой клеиться атом древний мир быть узнать открыть себя химический молекула протоплазма черта знать ещё поджать хвост просто сумбур начаться главное суеверие сплетня сплетня столько сколько капельку большой наконец донос такой один отделение принимать известный сведение дикий легенда ещё средний наш век ваш наш никто верить кроме семипудовый купчий опять таки ваш наш купчий дружба один тайна наш открывать хоть запретить легенда рай дескать здесь земля один такой мыслитель философ отвергать закон совесть вера главное будущий жизнь помереть думать прямо мрак смерть перед будущий жизнь изумиться вознегодовать говорить противоречить мой убеждение присудить видеть я извинить передавать сам слышать легенда присудить видеть пройти мрак квадриллион километр теперь километр кончить квадриллион тогда отворить райский дверь простить какой мука тот свет кроме квадриллион какой странный оживление прервать иван какой мука,4,artistic,Художественный
