text,label,style,style_ru
"Key words: hair, fur and raw materials and semi-finished products, optical properties, quantitative assessment, color

characteristics.

Натуральный мех является дорогостоящим Однако, несмотря на достижения современной

материалом, имеет сложную структуру, широкий техники, измерительные приборы, предназначенные
диапазон неповторяющихся свойств, обусловленных для идентификации и количественной оценки цвета и
индивидуальными особенностями пушных зверей. блеска меха в процессе их сортировки, до сих пор не
Для удовлетворения эстетических и потребительских созданы и исследователям приходится
требований покупателя мех должен обладать блеском предпринимать попытки адаптировать для этих целей
и рассыпчатостью волоса, шелковистостью, измерительные устройства, созданные для
пышностью, устойчивостью к атмосферным аналогичных целей в других отраслях народного
воздействиям, достаточной прочностью при носке [1]. хозяйства.",0,scientific,Научный
"Рис. 2. Содержание сухих растворимых веществ в зависимости от режима работы аппарата

Химический состав концентрированного экстракта: общий сахар – 21,5 %, растворимые сухие веще-
ства – 34,4 %; титруемая кислотность – 6,4 %; аскорбиновая кислота – 118,3 мг/100 г; сумма Р-активных ве-
ществ – 2145 мг/100 г. Благодаря герметичности аппарата, в полученном продукте хорошо сохраняется аро-
мат черной смородины.

229

Технология переработки

Таким образом, в ходе исследований изучены основные факторы, влияющие на ход процессов полу-
чения концентрированных экстрактов из свежих ягод черной смородины. Выявлено, что при использовании
способа мацерации, за счет измельчения ягодного сырья можно уменьшить время экстрагирования до 6 ча-
сов, при этом увеличить на 32 % выход сухих экстрактивных веществ. При аналогичных параметрах процес-
са из целой ягоды извлекается 1/10 часть сухих веществ. Доказано, что в предложенном для концентрирова-
ния экстрактов роторном аппарате обеспечивается высокое качество получаемого продукта и сохранность
ценных БАВ сырья.

Литература

1. Bakin I.A., Mustafina A.S., Aleksenko L.A. Choice of fruit and berry raw materials for extracts based on field
marketing research // European Science and Technology: materials of the VII international research and
prac-tice conference. – Munich, 2014. – Vol. I. – Р.180–186.",0,scientific,Научный
"i−1pi−1 := η−1 V (σm)(tm − tm−1), i = 2, . . . , n. (18)
m=1

Накопленная пластическая деформация (18) выражает влияние предыдущих
(i−1) ступеней нагружения (p0 := 0). Она не зависит от порядка приложения
ступеней нагрузки. Скорости ползучести и диссипации постоянны на каждом
интервале (ti−1, ti):

ε̇(t) = E−1V (σi)τ
−1r = η−1V (σi), Ẇ (t) = η−1σiV (σi) > 0.

Скачки деформации в точках t = ti, порожденные скачками напряжения
σi+1 − σi, равны [F (σi+1)− F (σi)]/E, скачки скорости ползучести ε̇(t) равны
[V (σi+1)− V (σi)]/η. Эти скачки не зависят от момента времени ti и предыс-
тории нагружения, а только от σi и скачка напряжения σi+1−σi. Для любой
МФ F скачок деформации (полной или упругой) при разгрузке (от σi+1 до σi)
всегда равен по модулю скачку при догрузке (от σi до σi+1). Поэтому нели-
нейное ОС (3) (как и линейное ОС вязкоупругости с произвольной функцией
ползучести) не способно моделировать явление «дрейфа мгновенно-упругой
деформации вследствие деформации ползучести» [26–28, 33, 34–36]. В ра-
боте [37] установлено, что нелинейное ОС наследственности, предложенное
Ю. Н. Работновым [15, 38], описывает явление дрейфа (скачок деформациипри разгрузке отличается по модулю от скачка при догрузке, так как зависитот предыстории нагружения).",0,scientific,Научный
"В последние годы возрастает интерес к изу- размеры.
чению свойств материалов, получаемых путем Обработку материалов проводили при реали-
совмещения процессов механической активации зации трех технологических маршрутов.
порошковых смесей и их последующего искро- Маршрут № 1: механоактивация порошковой
вого плазменного спекания [12–17]. Цель данной смеси Ni + 13,29 % (масс.) Al в течение 3 мин
работы заключается в изучении структуры и ме- с последующим самораспространяющимся вы-
ханических свойств объемных компактов из ин- сокотемпературным синтезом и искровым плаз-
терметаллида Ni3Al, полученных по различным менным спеканием.
схемам, основанным на комбинации процессов Маршрут № 2: механоактивация порошковой
предварительной механоактивации исходных смеси Ni + 13,29 % Al в течение 3 мин с последу-
порошков никеля и алюминия, самораспро- ющим искровым плазменным спеканием.
страняющегося высокотемпературного синтеза Маршрут № 3: операции, выполненные по
(СВС) и искрового плазменного спекания. маршруту № 1 с дополнительной двухминутной

механоактивацией полученного материала.
Материалы и методы исследования Структуру исследуемых материалов изучали

с использованием методов оптической микро-
В качестве исходных материалов использова- скопии, растровой и просвечивающей электрон-",0,scientific,Научный
"S S Sко [18]), а также общему прогностическому Однако рассмотренная выборка имеет
показателю эффективности взаимодействия достаточно много недостатков . Значитель-
צ) ) [9, 13] и критерию ʓ в 1903 парах пило- ная часть представленной здесь информа-

04тов, которые были получены в результате ции была собрана в ходе предварительной
обследования авторами 235 пилотов в пери- подготовки к занятиям по программам CRM
од 2011–2015 годов . или МСС, причем при явно негативном

Теоретически, поскольку величина ʓ отношении лётного состава к процедуре
по замыслу Е . М . Каймаковой [8, 16, 17] тестирования . Иными словами, есть осно-
должна была аппроксимировать оценку вания полагать, что имели место недоста-
Æ, полученную по критерию צ , эффек- точная мотивация и даже недобросовест-

04
тивность должна быть тем выше, чем ность ряда участников опросов .
больше величина ʓ . Следовательно, её Кроме того, на подобных выборках при-
корреляции с составляющими социони- ходится сравнивать лишь критерии, косвен-
ческой модели интертипных отношений, но оценивающие эффективность взаимодей-
соответствующих возможности [19] ствия . Так, соционические критерии оцени-
проявления благоприятных ИО, и кри- вают предположительное удобство и только
терием צ должны быть положительны- лишь информационного обмена (взаимодей-

04ми, а с определёнными по методике ствия), критерий Σ – с уммарную оптималь-

S
А . М . Эткинда [20] суммарными норма- ность стилей поведения, критерии Δ и R –",0,scientific,Научный
"Были установлены следующие показатели для определения информатив-
ности:

33 33

1) /Cij, i ! j; 2) / Rij,
i=1 i=1i! j i! jгде RXY = I(XY)/H(XY) – к оэффициент взаимной информации, предложенный
К. Райским;

3) Ni – число значимых по критерию χ2 связей.

Таблица 3
Оценка информативности признаков программы наблюдения

ΓYX R Число значимых
XY

№ Признак связей

∑ ΓYX ранг ∑ RXY ранг Ni ранг1 X2 – пол 0,853 18 7,84 17 15 102 X3 – возраст 1,797 6 11,762 5 21 63 X5 – профессия 1,350 16 10,237 7 22 54 X61 – стаж трудовой общий 1,857 3 11,531 6 25 45 X62 – стаж работы на заводе 1,572 15 10,110 8 18 86 X7 – производственные вредности 2,026 1 12,803 3 26 37 X8 – стаж работы 1,889 2 12,168 4 21 6с производственными вредностями8 X10 – запыленность 1,655 12 8,260 14 19 79 X12 – загазованность 1,784 7 7,768 12 21 610 X18 – температура воздуха 1,685 9 8,906 11 21 611 X19 – производственный шум 1,630 14 8,152 15 17 912 X24 – число детей 1,841 5 9,695 9 15 1013 X25 – среднедушевой доход 1,845 4 9,615 10 17 914 X31 – курение 1,753 8 7,864 16 18 815 X32 – употребление алкоголя 1,636 13 6,806 18 15 1016 X50 – характер труда 0,909 17 8,750 13 17 917 X51 – длительность заболевания 1,675 11 13,416 1 27 218 X47 – вид заболевания 1,682 10 13,038 2 28 1

Статистика и экономическое измерение 89

X24 X140,537 0,444

X22 X0 25 X42 X18 X16 X41
,4 01 ,
1 410,554 5 0,5530,3840,415

X 0,351 0,631 0,54220 X51 X47 X40,4320,453 0,569

X30 X27 X4820

0,6 0,662
X0,767 31",0,scientific,Научный
"При проектировании дорог не производится сравнение вариантов обес-
печения требуемого состояния их поверхности в зимних условиях различны-
ми сочетаниями конструктивных и эксплуатационных мероприятий, не оце-
ниваются возможность и вероятность образования гололеда и снежного нака-
та на дорожных покрытиях, не предусматриваются меры по их предупрежде-
нию и ликвидации.

Во многих работах отмечаются значительные трудности зимнего со-
держания дорог на участках кривых малого радиуса в плане, на узлах примы-
каний и пересечений в одном и разных уровнях и в других стесненных усло-
виях. Это требует изучения влияния геометрических элементов дорог и их
сочетаний на состояние дорог и режимы движения в сложных погодных усло-
виях.

Схемы установки дорожных знаков, разметки, конструкции огражде-
ний, направляющих устройств и другого инженерного оборудования приня-
ты одинаковыми для всей территории страны, для всех периодов года и
климатических условий. Не учитывается, что направляющие столбики, тум-
бы и парапеты, дорожные знаки, установленные в пределах земляного по-
лотна, приводят к снежным заносам, сужают его поверхность, мешают сне-
гоочистке.

Назначению оптимальных скоростей движения транспортных потоков
в реальных условиях посвящены многочисленные исследования, которые
отражают большой накопленный опыт организации движения и управления
им. Они охватывают широкий круг дорожных условий, различные сочетания

ISSN 0536 – 1036. ИВУЗ. «Лесной журнал». 2018. № 6 121",0,scientific,Научный
"Shaikh Sh., Rumbaugh W. (2020). The Air and Missile War in Nagorno-Karabakh: Lessons for the Future
of Strike and Defense. Center for Strategic and International Studies. URL: https://www.csis.org/
analysis/air­and­missile­war­nagorno­karabakh­lessons­future­strike­and­defense (aссessed:
27.03.2021).

Sümәrinli C. (2007). İrəli, NATO-ya doğru! [Forward to Nato!]. Baku: “Əbilov, Zeynalov vә oğulları”.
152 s.

Sümәrinli C. (2010). Hərbi sahədə informasiya əldə etmək mədəniyəti: Azərbaycan və dünya təcrübəsi
[Culture Of İnformation Gathering İn The Military Sphere: Azerbaijani and World Experience] Baku:
Apostrof. 72 c.

Tishchenko G.G. (1998). Vooruzhennye sily i voenno­politicheskij kurs Armenii [Military Forces and
Military Policy of Armenia]. In: Kozhokin E. (ed.) Armeniya: problemy nezavisimogo. Moscow: RISI.
P. 555–566.

Tishchenko G.G. (2000) Voenno­politicheskij kurs i vooruzhennye sily Azerbajdzhana [The Military­Political
Course And The Armed Forces Of Azerbaijan]. In: Kozhokin E. (ed.) Nezavisimyj Azerbajdzhan: novye
orientiry. T. 1. Moscow: RISI. P. 239–252.

Tkachenko S.L., Petermann S. (2002). Sotrudnichestvo stran SNG v voennoj sfere i faktor NATO
[Cooperation of the CIS countries in the military sphere and the NATO factor]. Saint­Petersburg:
Izd­vo S.­Peterb. un­ta. 241 p.",0,scientific,Научный
"5. Ламоткин И. А., Ушаков И. И., Марди Ш. И., Селезнева Е. В., Трейдинг», 123182, Россия, Москва, Щукинская ул., 2;
Хлебникова А. Н. Опыт применения препарата Мардил narro@mail.ru
Цинк® Макс в лечении доброкачественных новообразований кожи // Information about the authors:
Военно-медицинский журнал. 2015; 11: 58-60. Evgenii V. Tkachenko, MD, urologist at the Limited Liability
[Lamotkin I. A., Ushakov I. I., Mardi Sh. I., Selezneva Ye. V., Company «Pervaya Khirurgiya»; 2 Shchukinskaya str., Moscow,
Khlebnikova A. N. Experience with the use of Mardil Zinc® Max in the 123182, Russia; drt2007@yandex.ru
treatment of benign skin neoplasms // Voyenno-meditsinskiy zhurnal. Pavel I. Nekrasov, MD, obstetrician-gynecologist at the Limited Liability
2015; 11: 58-60.] Company «Advanced Trading»; 2 Shchukinskaya str., Moscow,

6. Лоран О. Б., Синякова Л. А., Косова И. В. Рецидивирующие инфекции 123182, Russia; narro@mail.ru
мочевых путей. Алгоритм диагностики и лечения. М.: МИА, 2008. 29 с.
[Loran O. B., Sinyakova L. A., Kosova I. V. Recurrent urinary tract Поступила/Received 09.09.2022
infections. Algorithm for diagnosis and treatment. M.: MIA, 2008. 29 р.] Принята в печать/Accepted 12.09.202230 ЛЕЧАЩИЙ ВРАЧ, ТОМ 25, № 9, 2022, https://journal.lvrach.ru/",0,scientific,Научный
"A bst r a ct. O n e of t h e c a us es of i n d ustri al a c ci d e nts is t h e l oss of i nf or m ati o n o n s af e w or ki n g m et h o ds a n d
m et h o ds. It is s h o w n t h at it is e xtr e m el y i m p ort a nt t o d e v el o p a n d m ai nt ai n t h e pr of essi o n al s kills of t h e w or k er i n
t h e fi el d of l a b or pr ot e cti o n d uri n g his/ h er w or ki n g lif e, d e p e n di n g o n t h e s p e e d of f or m ati o n of t h e ps y c h ol o gi c al
s yst e m of a cti o n as a pr e v e nti v e m e c h a nis m f or e ns uri n g s af et y. Ps y c h ol o gi c al f e at ur es of i n fi u e n c e of e m pl o y e e ‘s
p ers o n alit y o n a c ci d e nt-fr e e w or k ar e gi v e n, r es e ar c h is c arri e d o ut o n esti m ati o n of r at e of f or g etti n g of r e c ei v e d
i nf or m ati o n, m et h o ds of i n cr e asi n g m e m ori z ati o n of e xisti n g n or ms a n d s af et y r ul es ar e pr o p os e d. Wit h li mit e d
ti m e p ossi biliti es f or tr ai ni n g of p ers o n n el i n pr o d u cti o n c o n diti o ns, a s h ort-t er m or “t w o- d a y m o d el ” is r e c o m-
m e n d e d, a n d f or w or ks of i n cr e as e d d a n g er a n d t h e n e e d t o r e m e m b er i nf or m ati o n f or a l o n g er p eri o d of ti m e t h e
“t hr e e- m o nt h m o d el ” of m ai nt ai ni n g t h e s p e ci fi e d l e v el of s af et y. R e ali z ati o n of t h e s p e ci fi e d m o d els is p ossi bl e
pr a cti c all y f or all e xisti n g t y p es of tr ai ni n g i n a n i n d ustri al h e alt h a n d s af et y, a n d t h eir i ntr o d u cti o n a n d us e h as t o
b e c o m e a n eff e cti v e w a y of a c ci d e nt pr e v e nti o n o n pr o d u cti o n, r ati o n al distri b uti o n of li mit e d r es o ur c es a n d a n
a cti v e el e m e nt of cr e ati o n of a c o ntr ol s yst e m of l a b or pr ot e ct i o n of a n e w f or m ati o n.",0,scientific,Научный
